cdf,prefill_e2e_time_normalized,replica
0.07,0.00011427467355829967,3
0.08,0.00013047113422894724,3
0.09,0.00014666759489959482,3
0.1,0.00016286405557024245,3
0.11,0.00017906051624089003,3
0.12,0.0001952569769115376,3
0.13,0.00021145343758218523,3
0.14,0.00022244382282289932,3
0.15,0.00023083117034864667,3
0.16,0.000239218517874394,3
0.17,0.0002476058654001414,3
0.18,0.0002559932129258887,3
0.19,0.0002643805604516361,3
0.2,0.0002727679079773834,3
0.21,0.0002809921332908923,3
0.22,0.00028921635860440124,3
0.23,0.00029744058391791017,3
0.24,0.00030566480923141905,3
0.25,0.000313889034544928,3
0.26,0.0003221132598584369,3
0.27,0.0003371895201028225,3
0.28,0.000365969850208961,3
0.29,0.0003947501803150996,3
0.3,0.00042353051042123824,3
0.31,0.0004523108405273769,3
0.32,0.00048109117063351546,3
0.33,0.0005098715007396541,3
0.34,0.0005239753472289054,3
0.35000000000000003,0.0005307409519097132,3
0.36,0.0005375065565905208,3
0.37,0.0005442721612713286,3
0.38,0.0005510377659521363,3
0.39,0.0005578033706329441,3
0.4,0.0005645689753137517,3
0.41000000000000003,0.0005648985650701027,3
0.42,0.0005652281548264536,3
0.43,0.0005655577445828047,3
0.44,0.0005658873343391556,3
0.45,0.0005662169240955065,3
0.46,0.0005665465138518576,3
0.47000000000000003,0.0005694806412278707,3
0.48,0.0005776238438432083,3
0.49,0.0005857670464585459,3
0.5,0.0005939102490738836,3
0.51,0.0006020534516892213,3
0.52,0.0006101966543045589,3
0.53,0.0006183398569198965,3
0.54,0.0006355931318443883,3
0.55,0.0006574014429234566,3
0.56,0.0006792097540025253,3
0.5700000000000001,0.0007010180650815938,3
0.58,0.0007228263761606623,3
0.59,0.0007446346872397308,3
0.6,0.0007664429983187995,3
0.61,0.000798456490160407,3
0.62,0.0008304699820020144,3
0.63,0.0008624834738436215,3
0.64,0.000894496965685229,3
0.65,0.0009265104575268365,3
0.66,0.000958523949368444,3
0.67,0.0010017685349471461,3
0.68,0.0010674753080000374,3
0.6900000000000001,0.0011331820810529278,3
0.7000000000000001,0.001198888854105819,3
0.71,0.0012645956271587096,3
0.72,0.0013303024002116008,3
0.73,0.001396009173264492,3
0.74,0.0017640031098891805,3
0.75,0.00228314062829977,3
0.76,0.00280227814671036,3
0.77,0.00332141566512095,3
0.78,0.00384055318353154,3
0.79,0.00435969070194213,3
0.8,0.0048788282203527135,3
0.81,0.00491894241721571,3
0.8200000000000001,0.004959056614078705,3
0.8300000000000001,0.004999170810941702,3
0.84,0.005039285007804698,3
0.85,0.005079399204667694,3
0.86,0.00511951340153069,3
0.87,0.00514944197924223,3
0.88,0.005158999318650858,3
0.89,0.005168556658059486,3
0.9,0.005178113997468114,3
0.91,0.005187671336876742,3
0.92,0.00519722867628537,3
0.93,0.005206786015693998,3
0.9400000000000001,0.00540220456376804,3
0.9500000000000001,0.00569055371617479,3
0.96,0.005978902868581536,3
0.97,0.006267252020988286,3
