time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.0015040000000000192,0.0015679999999999837,0.0015360000000000013,0.0015360000000000013,2.0238577025066395e-05,0.01379200000000003,0.014174999999999983,0.013996600000000017,0.014048000000000001,0.0001302606617517241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,640,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.0015360000000000013,0.0015360000000000013,0.0015360000000000013,0.0,0.013824000000000041,0.014015999999999992,0.013939200000000004,0.01395199999999997,6.27101267738939e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,704,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015349999999999967,0.001568000000000012,0.001548599999999999,0.0015360000000000013,1.5844241856269803e-05,0.01392100000000002,0.014080000000000013,0.013971600000000011,0.013952000000000027,5.90071182146648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,768,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.0015360000000000013,0.0015360000000000013,0.0015360000000000013,0.0,0.013824000000000013,0.013984000000000038,0.013920000000000016,0.013920000000000016,5.354624169818504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,832,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015039999999999908,0.0015360000000000013,0.0015168000000000009,0.0015040000000000192,1.5676734353812863e-05,0.014078999999999951,0.014207999999999998,0.01413119999999998,0.014143999999999978,4.816388688634954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,896,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015030000000000143,0.0015360000000000013,0.0015230000000000018,0.0015360000000000013,1.5924823389914765e-05,0.013984000000000009,0.014240000000000037,0.01413140000000002,0.014209000000000032,0.00012088275311227006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,960,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.001568000000000012,0.0015424000000000034,0.0015360000000000013,1.2800000000004302e-05,0.014111999999999994,0.014240999999999957,0.014214399999999999,0.01424000000000001,5.120390610100272e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1024,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.001568000000000012,0.0015551999999999964,0.0015679999999999837,1.567673435380833e-05,0.014143999999999978,0.014303000000000055,0.014207799999999998,0.014175999999999987,5.690834736665152e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1088,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015349999999999967,0.001568000000000012,0.0015486000000000046,0.0015360000000000013,1.584424185627676e-05,0.014239999999999952,0.014976,0.014438799999999988,0.014336000000000014,0.0002709017534088791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1152,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.0015999999999999944,0.0015551999999999966,0.0015360000000000013,2.559999999999582e-05,0.014271999999999991,0.014432000000000016,0.014367800000000017,0.01439900000000003,5.7132827691272855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,1216,True,AttentionBackend.FLASHINFER
